dataset_split,record_id,saved_at,sample_id,sample_batch,sample_role,sample_structure,sample_process,expected_outcome,comparison_group,external_evidence,accepted,quality,confidence,hypothesis,product_fit_mode,fit_strategy,selected_display_mode,selected_result_source,selected_result_label,selected_candidate_rank,sweep_strategies,scan_m,scan_n,compare_models,post_fit_models,m,best_scan_m,worst_region,top_advice_level,top_advice_title,curve_points,voltage_min,voltage_max,voltage_span,current_abs_min,current_abs_max,current_abs_log_span,reverse_points,forward_points,current_sign_changes,reverse_log_slope,forward_log_slope,mean_error,max_error,median_error,negative_mean_error,positive_mean_error,reverse_mean_error,near_zero_mean_error,forward_mean_error,high_forward_mean_error,diode_component_pct,ohmic_component_pct,nonohmic_component_pct,negative_nonohmic_to_ohmic,boundary_hit_count,warning_count,advice_count,selected_series_point_count,candidate_count,candidate_renderable_count,candidate_diagnostic_only_count,candidate_promotable_count,primary_candidate_rank,top_candidate_rank,top_candidate_mean_error,top_candidate_max_error,source_path,current_range,cell_range,voltage_start,voltage_end,voltage_step,record_path,schema_version,record_type,device_stack,aging_days,manual_checkpoint_count,recommended_training_use,dominant_parameter_changes,fit_mean_delta,fit_max_delta,manual_adjusted,accept_reasons,main_issue,next_actions,label_notes,m_values,n_values,reverse_weight,near_zero_weight,forward_weight,high_forward_weight,selected_candidate_index,top_candidate_source,top_candidate_label,n,evaluator_kind,display_fit_source,J0,Rs,Rsh,k,included_points,best_scan_mean_error,best_model_name,best_model_bic,selected_post_model_name,selected_post_model_confidence,best_post_bic_model,best_post_bic_delta,best_post_mean_model,best_post_mean_delta,core_window_model_limited,core_window_failure_regions
test,8faa89b3,2026-05-08T22:53:12,1,no need,unknown,,,,,,True,acceptable,medium,leakage_reduced,legacy,auto,fit,selected_fit,,0.0,False,False,False,False,False,2.4,,,warning,Fit error is still high,81,-0.5,0.3,0.8,1.65575e-13,2.005457e-05,8.083218590774793,50,30,0,-1.3478779788260125,12.292076488122085,128.3252025775541,205.98164947458565,197.4257692796857,200.07295798827917,8.745610226345658,,,,,67.37251254674733,21.77888703606478,10.848598764890323,0.8085498972829444,0,2,2,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\bd8b416422b0441ea293bd013362110b_工作簿1.xlsx,D68:D148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_225312_8faa89b3.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,,,1.5,0.5,1.0,1.5,-1.0,,,,,,6.20097e-09,251.8012,47993850.0,5.851299e-08,80.0,,,,,,,,,,False,
test,db31887c,2026-05-08T22:53:16,1,no need,unknown,,,,,,True,acceptable,medium,leakage_reduced,legacy,auto,fit,selected_fit,,0.0,False,False,False,False,False,2.4,,,warning,Fit error is still high,81,-0.5,0.3,0.8,1.65575e-13,2.005457e-05,8.083218590774793,50,30,0,-1.3478779788260125,12.292076488122085,128.3252025775541,205.98164947458565,197.4257692796857,200.07295798827917,8.745610226345658,,,,,67.37251254674733,21.77888703606478,10.848598764890323,0.8085498972829444,0,2,2,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\bd8b416422b0441ea293bd013362110b_工作簿1.xlsx,D68:D148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_225316_db31887c.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,,,1.5,0.5,1.0,1.5,-1.0,,,,,,6.20097e-09,251.8012,47993850.0,5.851299e-08,80.0,,,,,,,,,,False,
test,8b79c34a,2026-05-08T23:06:29,111,22,unknown,,,,,,True,poor,medium,leakage_reduced,legacy,auto,fit,selected_fit,,0.0,False,True,False,True,False,2.0,,,warning,Fit error is still high,81,-0.5,0.3,0.8,4.970157e-13,2.059836e-05,7.6174625364139485,50,30,0,-2.175324033294588,12.45698164696149,163.5825598868846,285.72116626481335,221.47710900964273,256.68050776480754,8.419313423679801,,,,,56.83841587231003,0.045929022849243405,43.11565358616491,1778.485691828869,1,6,4,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\99c6731a396048c499df16233be66ca4_工作簿1.xlsx,BR68:BR148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_230629_8b79c34a.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,"1.6, 1.8, 2, 2.2, 2.4, 2.6, 2.8, 3, 3.2, 3.4",,1.5,0.5,1.0,1.5,-1.0,,,,,,5.348643e-09,14.77455,13400930000.0,3.243541e-07,80.0,,,,,,,,,,False,
test,a7e27760,2026-05-08T23:06:31,111,22,unknown,,,,,,True,poor,medium,leakage_reduced,legacy,auto,fit,selected_fit,,0.0,False,True,False,True,False,2.0,,,warning,Fit error is still high,81,-0.5,0.3,0.8,4.970157e-13,2.059836e-05,7.6174625364139485,50,30,0,-2.175324033294588,12.45698164696149,163.5825598868846,285.72116626481335,221.47710900964273,256.68050776480754,8.419313423679801,,,,,56.83841587231003,0.045929022849243405,43.11565358616491,1778.485691828869,1,6,4,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\99c6731a396048c499df16233be66ca4_工作簿1.xlsx,BR68:BR148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_230631_a7e27760.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,"1.6, 1.8, 2, 2.2, 2.4, 2.6, 2.8, 3, 3.2, 3.4",,1.5,0.5,1.0,1.5,-1.0,,,,,,5.348643e-09,14.77455,13400930000.0,3.243541e-07,80.0,,,,,,,,,,False,
test,1a8cd797,2026-05-08T23:06:32,111,22,unknown,,,,,,True,poor,medium,leakage_reduced,legacy,auto,fit,selected_fit,,0.0,False,True,False,True,False,2.0,,,warning,Fit error is still high,81,-0.5,0.3,0.8,4.970157e-13,2.059836e-05,7.6174625364139485,50,30,0,-2.175324033294588,12.45698164696149,163.5825598868846,285.72116626481335,221.47710900964273,256.68050776480754,8.419313423679801,,,,,56.83841587231003,0.045929022849243405,43.11565358616491,1778.485691828869,1,6,4,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\99c6731a396048c499df16233be66ca4_工作簿1.xlsx,BR68:BR148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_230632_1a8cd797.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,"1.6, 1.8, 2, 2.2, 2.4, 2.6, 2.8, 3, 3.2, 3.4",,1.5,0.5,1.0,1.5,-1.0,,,,,,5.348643e-09,14.77455,13400930000.0,3.243541e-07,80.0,,,,,,,,,,False,
test,87888291,2026-05-08T23:06:32,111,22,unknown,,,,,,True,poor,medium,leakage_reduced,legacy,auto,fit,selected_fit,,0.0,False,True,False,True,False,2.0,,,warning,Fit error is still high,81,-0.5,0.3,0.8,4.970157e-13,2.059836e-05,7.6174625364139485,50,30,0,-2.175324033294588,12.45698164696149,163.5825598868846,285.72116626481335,221.47710900964273,256.68050776480754,8.419313423679801,,,,,56.83841587231003,0.045929022849243405,43.11565358616491,1778.485691828869,1,6,4,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\99c6731a396048c499df16233be66ca4_工作簿1.xlsx,BR68:BR148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_230632_87888291.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,"1.6, 1.8, 2, 2.2, 2.4, 2.6, 2.8, 3, 3.2, 3.4",,1.5,0.5,1.0,1.5,-1.0,,,,,,5.348643e-09,14.77455,13400930000.0,3.243541e-07,80.0,,,,,,,,,,False,
test,c32fec23,2026-05-08T23:06:32,111,22,unknown,,,,,,True,poor,medium,leakage_reduced,legacy,auto,fit,selected_fit,,0.0,False,True,False,True,False,2.0,,,warning,Fit error is still high,81,-0.5,0.3,0.8,4.970157e-13,2.059836e-05,7.6174625364139485,50,30,0,-2.175324033294588,12.45698164696149,163.5825598868846,285.72116626481335,221.47710900964273,256.68050776480754,8.419313423679801,,,,,56.83841587231003,0.045929022849243405,43.11565358616491,1778.485691828869,1,6,4,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\99c6731a396048c499df16233be66ca4_工作簿1.xlsx,BR68:BR148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_230632_c32fec23.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,"1.6, 1.8, 2, 2.2, 2.4, 2.6, 2.8, 3, 3.2, 3.4",,1.5,0.5,1.0,1.5,-1.0,,,,,,5.348643e-09,14.77455,13400930000.0,3.243541e-07,80.0,,,,,,,,,,False,
test,ec05d786,2026-05-08T23:06:32,111,22,unknown,,,,,,True,poor,medium,leakage_reduced,legacy,auto,fit,selected_fit,,0.0,False,True,False,True,False,2.0,,,warning,Fit error is still high,81,-0.5,0.3,0.8,4.970157e-13,2.059836e-05,7.6174625364139485,50,30,0,-2.175324033294588,12.45698164696149,163.5825598868846,285.72116626481335,221.47710900964273,256.68050776480754,8.419313423679801,,,,,56.83841587231003,0.045929022849243405,43.11565358616491,1778.485691828869,1,6,4,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\99c6731a396048c499df16233be66ca4_工作簿1.xlsx,BR68:BR148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_230632_ec05d786.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,"1.6, 1.8, 2, 2.2, 2.4, 2.6, 2.8, 3, 3.2, 3.4",,1.5,0.5,1.0,1.5,-1.0,,,,,,5.348643e-09,14.77455,13400930000.0,3.243541e-07,80.0,,,,,,,,,,False,
test,eef13792,2026-05-08T23:06:32,111,22,unknown,,,,,,True,poor,medium,leakage_reduced,legacy,auto,fit,selected_fit,,0.0,False,True,False,True,False,2.0,,,warning,Fit error is still high,81,-0.5,0.3,0.8,4.970157e-13,2.059836e-05,7.6174625364139485,50,30,0,-2.175324033294588,12.45698164696149,163.5825598868846,285.72116626481335,221.47710900964273,256.68050776480754,8.419313423679801,,,,,56.83841587231003,0.045929022849243405,43.11565358616491,1778.485691828869,1,6,4,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\99c6731a396048c499df16233be66ca4_工作簿1.xlsx,BR68:BR148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_230632_eef13792.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,"1.6, 1.8, 2, 2.2, 2.4, 2.6, 2.8, 3, 3.2, 3.4",,1.5,0.5,1.0,1.5,-1.0,,,,,,5.348643e-09,14.77455,13400930000.0,3.243541e-07,80.0,,,,,,,,,,False,
val,759258bf,2026-05-08T23:24:23,,,unknown,,,,,,True,poor,medium,none,legacy,quick_global,fit,selected_fit,,0.0,False,True,False,True,False,3.5276,,,warning,Fit error is still high,201,-1.0,1.0,2.0,5.637536e-12,0.249778,10.646464855641609,100,100,1,-1.4921144064470466,5.4230072619425504,48.99139076299617,197.69970154920583,33.0763482255509,35.46793480594729,62.51484672004507,,,,,63.71325367158895,18.912948203187188,17.373798101684745,0.4479012144597084,1,2,3,201.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\4a13851a2ad2474eb0a4a80f08dcfca4_工作簿1.xlsx,AO18:AO218,,-1.0,1.0,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_232423_759258bf.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,"1.6, 1.8, 2, 2.2, 2.4, 2.6, 2.8, 3, 3.2, 3.4",,1.5,0.5,1.0,1.5,-1.0,,,,,,1.891483e-07,2.674536,1166873.0,3.528892e-06,200.0,,,,,,,,,,False,
train,7d0faeb6,2026-05-08T23:25:23,,,unknown,,,,,,True,poor,medium,none,legacy,auto,fit,selected_fit,,0.0,False,False,False,False,False,2.4,,reverse,warning,Fit error is still high,81,-0.5,0.3,0.8,1.65575e-13,2.005457e-05,8.083218590774793,50,30,0,-1.3478779788260125,12.292076488122085,128.3251967242447,205.9816405852466,197.42576106527332,200.07295002312003,8.74560789278586,199.8320133069262,112.00961989086402,6.13915760877034,,67.37251259197924,21.778886512410587,10.848599243343244,0.8085499547617558,0,3,3,81.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\126261b56fb443beb6241b7dbb934c01_工作簿1.xlsx,D68:D148,,-0.5,0.3,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260508_232523_7d0faeb6.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,,,1.5,0.5,1.0,1.5,-1.0,,,,,,6.200969501719315e-09,251.8012415937415,47993854.94353422,5.8512988132675984e-08,80.0,,,,,,,,,,False,
val,a6b26031,2026-05-11T00:29:27,,,unknown,,,,,,True,acceptable,medium,none,legacy,auto,fit,selected_fit,,0.0,False,True,False,True,False,3.4,,,info,Some points were excluded from aggregate errors,101,-0.6,0.4,1.0,3.679445e-12,0.002381,8.810977079887623,60,40,1,-1.3975887662089193,10.94955730615821,4.403869496981162,27.870051746709212,2.798292984419999,2.2491463650186447,7.635954194924939,,,,,64.80588945681322,24.269700165058712,10.924410315307851,0.5998831196774297,0,1,1,101.0,0.0,0.0,0.0,0.0,,,,,C:\Users\Administrator\Desktop\fit\app_data\uploads\95008d0ff3d144aaa618243603102b99_test1.xlsx,E58:E158,,-0.6,0.4,0.01,C:\Users\lky40\OneDrive\桌面\fitting\fitting\app_data\records\fit_record_20260511_002927_a6b26031.json,2,fit_label,[],,,,[],,,False,visual_fit_ok,none,,,"1.6, 1.8, 2, 2.2, 2.4, 2.6, 2.8, 3, 3.2, 3.4",,1.5,0.5,1.0,1.5,-1.0,,,,,,1.331581e-07,19.08121,1842887.0,2.68385e-06,100.0,,,,,,,,,,False,
